,List Year,Town,Avg_Sale_Amount,Count_Sales,Avg_Sales_Ratio,Total_Sales,Sale Price Group,Count_Per_Group
0,2001,Ansonia,169252.80508474575,349,0.7575404423305084,59915493.0,<300k,345
1,2001,Ansonia,169252.80508474575,349,0.7575404423305084,59915493.0,300k-800k,3
2,2001,Ansonia,169252.80508474575,349,0.7575404423305084,59915493.0,800k+,1
3,2001,Ashford,135293.64084507042,141,0.5954344883098592,19211697.0,<300k,139
4,2001,Ashford,135293.64084507042,141,0.5954344883098592,19211697.0,300k-800k,2
5,2001,Avon,363806.7559198543,549,0.579303154870674,199729909.0,<300k,306
6,2001,Avon,363806.7559198543,549,0.579303154870674,199729909.0,300k-800k,219
7,2001,Avon,363806.7559198543,549,0.579303154870674,199729909.0,800k+,24
8,2001,Barkhamsted,162039.0888888889,90,0.5887746985222222,14583518.0,<300k,84
9,2001,Barkhamsted,162039.0888888889,90,0.5887746985222222,14583518.0,300k-800k,5
10,2001,Barkhamsted,162039.0888888889,90,0.5887746985222222,14583518.0,800k+,1
11,2001,Berlin,207317.11161731207,438,0.7939841822004555,91012212.0,<300k,384
12,2001,Berlin,207317.11161731207,438,0.7939841822004555,91012212.0,300k-800k,51
13,2001,Berlin,207317.11161731207,438,0.7939841822004555,91012212.0,800k+,3
14,2001,Bethany,227374.50331125828,151,0.7285611120993377,34333550.0,<300k,113
15,2001,Bethany,227374.50331125828,151,0.7285611120993377,34333550.0,300k-800k,37
16,2001,Bethany,227374.50331125828,151,0.7285611120993377,34333550.0,800k+,1
17,2001,Bethel,245266.14285714287,504,0.4710556989325397,123614136.0,<300k,396
18,2001,Bethel,245266.14285714287,504,0.4710556989325397,123614136.0,300k-800k,107
19,2001,Bethel,245266.14285714287,504,0.4710556989325397,123614136.0,800k+,1
20,2001,Bethlehem,201092.33766233767,76,0.7030958777662337,15484110.0,<300k,60
21,2001,Bethlehem,201092.33766233767,76,0.7030958777662337,15484110.0,300k-800k,16
22,2001,Bloomfield,240918.81699346405,457,0.5537103365991285,110581737.0,<300k,389
23,2001,Bloomfield,240918.81699346405,457,0.5537103365991285,110581737.0,300k-800k,59
24,2001,Bloomfield,240918.81699346405,457,0.5537103365991285,110581737.0,800k+,9
25,2001,Bolton,204162.81720430107,93,0.634965529655914,18987142.0,<300k,77
26,2001,Bolton,204162.81720430107,93,0.634965529655914,18987142.0,300k-800k,16
27,2001,Bozrah,117478.06451612903,31,0.5920628008064517,3641820.0,<300k,31
28,2001,Branford,214020.5945945946,774,0.6754997291917632,166294002.0,<300k,651
29,2001,Branford,214020.5945945946,774,0.6754997291917632,166294002.0,300k-800k,110
30,2001,Branford,214020.5945945946,774,0.6754997291917632,166294002.0,800k+,13
31,2001,Bridgeport,141076.0482361411,2759,2.6604323198167745,391909262.0,<300k,2696
32,2001,Bridgeport,141076.0482361411,2759,2.6604323198167745,391909262.0,300k-800k,53
33,2001,Bridgeport,141076.0482361411,2759,2.6604323198167745,391909262.0,800k+,10
34,2001,Bridgewater,364896.20408163266,49,0.4090784048367347,17879914.0,<300k,24
35,2001,Bridgewater,364896.20408163266,49,0.4090784048367347,17879914.0,300k-800k,21
36,2001,Bridgewater,364896.20408163266,49,0.4090784048367347,17879914.0,800k+,4
37,2001,Bristol,146273.6741041244,1475,0.5816047585402299,216338764.0,<300k,1437
38,2001,Bristol,146273.6741041244,1475,0.5816047585402299,216338764.0,300k-800k,31
39,2001,Bristol,146273.6741041244,1475,0.5816047585402299,216338764.0,800k+,7
