List Year,Town,Sale Amount
2001,Ansonia,60055884.0
2001,Ashford,19308827.0
2001,Avon,199770409.0
2001,Barkhamsted,14613518.0
2001,Berlin,91141367.0
2001,Bethany,34368535.0
2001,Bethel,123763391.0
2001,Bethlehem,15504110.0
2001,Bloomfield,110735071.0
2001,Bolton,19024492.0
2001,Bozrah,3697486.0
2001,Branford,166498852.0
2001,Bridgeport,393362184.0
2001,Bridgewater,17943859.0
2001,Bristol,216517064.0
2001,Brooklyn,23402400.0
2001,Burlington,48084571.0
2001,Canaan,4945397.0
2001,Canterbury,13927711.0
2001,Canton,61534026.0
2001,Chaplin,5951473.0
2001,Cheshire,150926828.0
2001,Chester,24070415.0
2001,Clinton,84123792.0
2001,Colebrook,7415050.0
2001,Coventry,48818082.0
2001,Cromwell,84144089.0
2001,Danbury,509226077.0
2001,Darien,427790043.0
2001,Derby,46629039.0
2001,Durham,40722729.0
2001,East Granby,26473970.0
2001,East Haddam,65787034.0
2001,East Hampton,71407935.0
2001,East Haven,138638168.0
2001,East Windsor,49696962.0
2001,Eastford,9917866.0
2001,Easton,93292174.0
2001,Ellington,71493086.0
2001,Essex,71276017.0
2001,Farmington,204908107.0
2001,Franklin,11264774.0
2001,Glastonbury,247914191.0
2001,Goshen,29245004.0
2001,Granby,71894744.0
2001,Guilford,199758576.0
2001,Hamden,247145573.0
2001,Hampton,7169752.0
2001,Hartford,205866520.0
2001,Hartland,5608291.0
2001,Harwinton,16753450.0
2001,Kent,32227113.0
2001,Killingly,52296693.0
2001,Lebanon,27516497.0
2001,Litchfield,49733344.0
2001,Lyme,18779895.0
2001,Madison,176323896.0
2001,Manchester,228438255.0
2001,Mansfield,43089454.0
2001,Middletown,142963482.0
2001,Milford,371717999.0
2001,Monroe,158080583.0
2001,Morris,14512016.0
2001,Naugatuck,95967561.0
2001,New Britain,130433308.0
2001,New Fairfield,117045166.0
2001,New Hartford,30841099.0
2001,New Haven,217500.0
2001,New London,64979350.0
2001,Newington,118949196.0
2001,Newtown,312365449.0
2001,Norfolk,12658550.0
2001,North Canaan,8981344.0
2001,North Haven,110398222.0
2001,North Stonington,23534479.0
2001,Norwalk,751685009.0
2001,Norwich,105895742.0
